Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;6368;18.5327;0
1;6369;23.7284;18.5326995849609
2;6370;20.9175;42.2610988616943
3;6371;18.2851;63.1785984039307
4;6372;31.3014;81.4636974334717
5;6373;21.1064;112.765096664429
6;6374;20.6218;133.871496200562
7;6375;20.972;154.493295669556
8;6376;26.6549;175.465295791626
9;6377;23.4571;202.120195388794
10;6378;21.9057;225.577295303345
11;6379;25.9135;247.482995986938
12;6380;24.056;273.396495819092
13;6381;28.7377;297.452495574951
14;6382;25.0325;326.190195083618
15;6383;23.1855;351.222694396973
16;6384;20.8464;374.408193588257
17;6385;20.1843;395.254592895508
18;6386;20.6906;415.438892364502
19;6387;21.3567;436.12949180603
20;6388;22.0488;457.486192703247
21;6389;22.8222;479.534992218018
22;6390;22.0978;502.357192993164
23;6391;20.3118;524.454992294312
24;6392;25.7442;544.766792297363
25;6393;21.8396;570.510992050171
26;6394;27.1436;592.350591659546
27;6395;19.9239;619.494192123413
28;6396;26.2644;639.418092727661
29;6397;32.1415;665.682493209839
30;6398;23.6338;697.823991775513
31;6399;23.233;721.457792282104
32;6400;21.7932;744.69079208374
33;6401;23.2575;766.483991622925
34;6402;26.972;789.741491317749
35;6403;23.6892;816.713491439819
36;6404;29.3687;840.402690887451
37;6405;24.7205;869.771390914917
38;6406;25.7127;894.491889953613
39;6407;34.3877;920.20458984375
40;6408;26.7372;954.592288970947
41;6409;29.764;981.329488754272
42;6410;19.372;1011.09348869324
43;6411;20.7047;1030.46548843384
44;6412;20.8434;1051.17018890381
45;6413;27.7958;1072.01358795166
46;6414;26.9333;1099.80938720703
47;6415;23.596;1126.74268722534
48;6416;20.2749;1150.33868789673
49;6417;19.3828;1170.61358833313
50;6418;18.7523;1189.99638748169
51;6419;19.043;1208.74868774414
52;6420;24.4546;1227.79168701172
53;6421;18.8544;1252.24628639221
54;6422;20.8464;1271.10068702698
55;6423;22.5372;1291.94708633423
56;6424;25.3573;1314.48428535461
57;6425;18.6398;1339.8415851593
58;6426;18.6704;1358.48138427734
59;6427;26.0163;1377.15178489685
60;6428;19.9059;1403.16808509827
61;6429;19.633;1423.07398414612
62;6430;21.6227;1442.70698356628
63;6431;26.0681;1464.32968330383
64;6432;18.4484;1490.39778327942
65;6433;19.8455;1508.84618377686
66;6434;19.7889;1528.69168281555
67;6435;20.6635;1548.48058319092
68;6436;29.2408;1569.14408302307
69;6437;27.8731;1598.38488388062
70;6438;31.4519;1626.25798416138
71;6439;23.1102;1657.70988464355
72;6440;25.2741;1680.82008552551
73;6441;27.4303;1706.09418487549
74;6442;24.2101;1733.5244846344
75;6443;24.6002;1757.73458480835
76;6444;23.9305;1782.33478546143
77;6445;27.087;1806.26528549194
78;6446;21.0732;1833.35228538513
79;6447;20.5591;1854.42548561096
80;6448;21.8194;1874.98458480835
81;6449;22.7724;1896.8039855957
82;6450;23.852;1919.57638549805
83;6451;22.0843;1943.42838478088
84;6452;20.3756;1965.51268386841
85;6453;18.7645;1985.88828468323
86;6454;24.6856;2004.65278434753
87;6455;27.9329;2029.3383846283
88;6456;21.0129;2057.27128410339
89;6457;25.8246;2078.2841835022
90;6458;23.4095;2104.10878372192
91;6459;29.7603;2127.51828384399
92;6460;26.1999;2157.27858352661
93;6461;19.7981;2183.47848320007
94;6462;23.1637;2203.2765827179
95;6463;21.2232;2226.44028282166
96;6464;26.74;2247.66348266602
97;6465;28.8026;2274.40348243713
98;6466;23.2536;2303.20608329773
99;6467;25.3188;2326.4596824646
100;6468;24.7674;2351.77848243713
101;6469;29.6634;2376.54588317871
102;6470;24.0717;2406.20928382874
103;6471;23.5609;2430.28098297119
104;6472;20.294;2453.84188270569
105;6473;25.0447;2474.1358833313
106;6474;20.2474;2499.18058395386
107;6475;19.1908;2519.42798423767
108;6476;20.3071;2538.61878395081
109;6477;22.816;2558.92588424683
110;6478;22.7867;2581.74188423157
111;6479;19.8758;2604.52858352661
112;6480;20.1861;2624.40438270569
113;6481;28.0596;2644.59048271179
114;6482;22.5587;2672.65008354187
115;6483;20.8269;2695.20878410339
116;6484;21.711;2716.03568458557
117;6485;20.9419;2737.74668502808
118;6486;21.5387;2758.68858528137
119;6487;20.364;2780.22728538513
120;6488;19.9765;2800.59128570557
121;6489;22.9259;2820.56778526306
122;6490;21.0234;2843.49368476868
123;6491;19.8582;2864.5170841217
124;6492;21.4359;2884.37528419495
125;6493;20.062;2905.81118392944
126;6494;21.5303;2925.8731842041
127;6495;19.7781;2947.40348434448
128;6496;20.1458;2967.18158340454
129;6497;21.2271;2987.32738304138
130;6498;21.5302;3008.5544834137
131;6499;22.0958;3030.0846824646
132;6500;24.0583;3052.18048286438
133;6501;24.0007;3076.23878288269
134;6502;23.689;3100.23948287964
135;6503;25.8405;3123.92848205566
136;6504;26.1953;3149.76898193359
137;6505;21.0396;3175.96428108215
138;6506;25.9694;3197.00388145447
139;6507;24.6688;3222.97328186035
140;6508;28.4002;3247.64208221436
141;6509;21.5841;3276.04228210449
142;6510;20.5833;3297.62638282776
143;6511;20.2015;3318.2096824646
144;6512;22.379;3338.41118240356
145;6513;20.2946;3360.79018211365
146;6514;22.2246;3381.08478164673
147;6515;20.171;3403.30938148499
148;6516;19.0433;3423.48038101196
149;6517;19.8556;3442.52368164063
150;6518;21.914;3462.37928199768
151;6519;19.1191;3484.29328155518
152;6520;18.5225;3503.41238212585
153;6521;18.8411;3521.93488121033
154;6522;20.9471;3540.77598190308
155;6523;18.8938;3561.72308158875
156;6524;20.0403;3580.61688232422
157;6525;21.2151;3600.65718269348
158;6526;21.3652;3621.8722820282
159;6527;21.0234;3643.23748207092
160;6528;35.3509;3664.26088142395
161;6529;33.3559;3699.61178016663
162;6530;24.5271;3732.96767997742
163;6531;23.1269;3757.49477958679
164;6532;22.6456;3780.62167930603
165;6533;26.4165;3803.26727867126
166;6534;21.6014;3829.68377876282
167;6535;23.5625;3851.28517913818
168;6536;22.0847;3874.84767913818
169;6537;21.3666;3896.93237876892
170;6538;20.0841;3918.29897880554
171;6539;21.4571;3938.38307952881
172;6540;21.464;3959.84017944336
173;6541;20.4249;3981.30418014526
174;6542;24.087;4001.7290802002
175;6543;26.0544;4025.81608009338
176;6544;18.8499;4051.87047958374
177;6545;19.096;4070.72037887573
178;6546;18.051;4089.81637954712
179;6547;18.9295;4107.86738014221
180;6548;24.2901;4126.79688072205
181;6549;21.2713;4151.0869808197
182;6550;29.648;4172.35828018188
183;6551;20.6079;4202.00628089905
184;6552;19.0468;4222.61418151855
185;6553;21.0192;4241.66098213196
186;6554;19.9586;4262.6801815033
187;6555;18.7394;4282.63878059387
188;6556;18.8464;4301.37818145752
189;6557;19.2583;4320.22458076477
190;6558;19.7843;4339.48288154602
191;6559;21.4709;4359.26718139648
192;6560;26.4846;4380.73808097839
193;6561;21.0315;4407.22268104553
194;6562;20.4242;4428.2541809082
195;6563;20.6461;4448.67838096619
196;6564;19.6936;4469.32448005676
197;6565;19.5034;4489.01807975769
198;6566;24.7835;4508.5214805603
199;6567;22.2318;4533.30498123169
200;6568;21.1417;4555.53678131104
201;6569;20.3347;4576.67848205566
202;6570;20.0592;4597.0131816864
203;6571;19.6151;4617.07238197327
204;6572;20.4966;4636.68748283386
205;6573;19.3972;4657.18408203125
206;6574;26.4516;4676.58128166199
207;6575;19.837;4703.03288078308
208;6576;19.6289;4722.86988067627
209;6577;21.6798;4742.49878120422
210;6578;22.4615;4764.17858123779
211;6579;22.3518;4786.64008140564
212;6580;21.96;4808.99188041687
213;6581;20.4498;4830.95187950134
214;6582;21.1394;4851.40167999268
215;6583;18.3492;4872.54108047485
216;6584;19.0697;4890.8902797699
217;6585;19.3994;4909.95998001099
218;6586;19.0001;4929.35938072205
219;6587;18.5989;4948.35947990417
220;6588;19.4407;4966.95837974548
221;6589;19.9285;4986.39908027649
222;6590;18.6502;5006.32757949829
223;6591;19.7421;5024.97777938843
224;6592;20.6519;5044.71987915039
225;6593;20.7263;5065.37177848816
226;6594;20.899;5086.09807777405
227;6595;20.0499;5106.99707794189
228;6596;21.779;5127.04697799683
229;6597;22.245;5148.82597732544
230;6598;23.3783;5171.07097816467
231;6599;30.0292;5194.44927787781
232;6600;23.4969;5224.47847747803
233;6601;20.9489;5247.9753780365
234;6602;20.2414;5268.92427825928
235;6603;22.8619;5289.16567802429
236;6604;22.0316;5312.02757835388
237;6605;20.7829;5334.05917739868
238;6606;21.9044;5354.84207725525
239;6607;20.9515;5376.74647712708
240;6608;20.3977;5397.69797706604
241;6609;20.8267;5418.09567642212
242;6610;20.8079;5438.92237663269
243;6611;25.3183;5459.73027610779
244;6612;25.9714;5485.04857635498
245;6613;20.6717;5511.01997566223
246;6614;19.4324;5531.69167518616
247;6615;25.6611;5551.12407493591
248;6616;26.8347;5576.78517532349
249;6617;21.3469;5603.61987495422
250;6618;20.9142;5624.96677398682
251;6619;26.9725;5645.88097381592
